kol_num,slug,x_handle,status,wave,asset_type,sort_order,file_name,public_url,storage_path,active,source_asset_id,source_sha256
1,crypto-dragon,@CryptoDragon001,Ready to Publish,Wave 1,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
1,crypto-dragon,@CryptoDragon001,Ready to Publish,Wave 1,image,2,package-page-1.png,https://www.magne.ai/magne-web/media-kit/package-page-1.png,,true,IMG04,650d19b76103a26fd6943d0851d4272fa78583cf01cc97f9fb7a02d187482e06
2,olivelinex,@Olivelinex,Ready to Publish,Wave 1,image,1,nfc-card.png,https://www.magne.ai/magne-web/media-kit/nfc-card.png,,true,IMG09,d57037ebc8bcde449d4fd637bf7248efee4a326fde3311f9ca70b4cfe4de8639
2,olivelinex,@Olivelinex,Ready to Publish,Wave 1,image,2,package-page-3.png,https://www.magne.ai/magne-web/media-kit/package-page-3.png,,true,IMG06,a02a5d61b556fd747ad9e15972083ad0f38642cf77de444a7c710378bdc63a26
3,milesdefix,@milesdefix,Ready to Publish,Wave 1,image,1,phone-white.png,https://www.magne.ai/magne-web/phone-white.png,,true,IMG02,41450daddc97280727f17120460014c145c09e65f8df2722bc7a713e6b9d386e
3,milesdefix,@milesdefix,Ready to Publish,Wave 1,image,2,package-page-2.png,https://www.magne.ai/magne-web/media-kit/package-page-2.png,,true,IMG05,46372124ce7199ec5a42a8968a8fed56393c8fb683210d293e08beec6e713c09
4,tokenovax,@tokenovax,Ready to Publish,Wave 1,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
4,tokenovax,@tokenovax,Ready to Publish,Wave 1,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
5,web3dome,@Web3dome,Ready to Publish,Wave 1,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
5,web3dome,@Web3dome,Ready to Publish,Wave 1,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
6,brad-nft,@Brad_nft,Ready to Publish,Wave 1,image,1,phone-white.png,https://www.magne.ai/magne-web/phone-white.png,,true,IMG02,41450daddc97280727f17120460014c145c09e65f8df2722bc7a713e6b9d386e
6,brad-nft,@Brad_nft,Ready to Publish,Wave 1,image,2,package-page-1.png,https://www.magne.ai/magne-web/media-kit/package-page-1.png,,true,IMG04,650d19b76103a26fd6943d0851d4272fa78583cf01cc97f9fb7a02d187482e06
7,altcoinbear1,@altcoinbear1,Ready to Publish,Wave 2,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
7,altcoinbear1,@altcoinbear1,Ready to Publish,Wave 2,image,2,phone-white.png,https://www.magne.ai/magne-web/phone-white.png,,true,IMG02,41450daddc97280727f17120460014c145c09e65f8df2722bc7a713e6b9d386e
7,altcoinbear1,@altcoinbear1,Ready to Publish,Wave 2,image,3,pkg-exploded-new.png,https://www.magne.ai/magne-web/pkg-exploded-new.png,,true,IMG03,fc59559e8f2b365c5d24a4ce5b3db6fa25ea011983676c4b74a2bac202e9fdea
8,crypto-panda,@CryptoPanda_gl,Ready to Publish,Wave 2,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
8,crypto-panda,@CryptoPanda_gl,Ready to Publish,Wave 2,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
9,caprishell,@CapriShell,Ready to Publish,Wave 2,image,1,package-page-4.png,https://www.magne.ai/magne-web/media-kit/package-page-4.png,,true,IMG07,943f401a3337909f3de029bfdc85b0fd3807df7325cb9fa28c28a8287fa8e4ef
9,caprishell,@CapriShell,Ready to Publish,Wave 2,image,2,package-page-3.png,https://www.magne.ai/magne-web/media-kit/package-page-3.png,,true,IMG06,a02a5d61b556fd747ad9e15972083ad0f38642cf77de444a7c710378bdc63a26
10,cryptoscipher,@Cryptoscipher,Ready to Publish,Wave 2,image,1,phone-white.png,https://www.magne.ai/magne-web/phone-white.png,,true,IMG02,41450daddc97280727f17120460014c145c09e65f8df2722bc7a713e6b9d386e
10,cryptoscipher,@Cryptoscipher,Ready to Publish,Wave 2,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
11,mai-thanhvn,@mai_thanhVN,draft,Wave 2,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
11,mai-thanhvn,@mai_thanhVN,draft,Wave 2,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
12,tokenmotive,@tokenmotive,draft,Wave 2,image,1,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
12,tokenmotive,@tokenmotive,draft,Wave 2,image,2,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
13,omnigemx,@omnigemx,Ready to Publish,Wave 3,image,1,package-page-1.png,https://www.magne.ai/magne-web/media-kit/package-page-1.png,,true,IMG04,650d19b76103a26fd6943d0851d4272fa78583cf01cc97f9fb7a02d187482e06
13,omnigemx,@omnigemx,Ready to Publish,Wave 3,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
14,cryptobeast-1,@CryptoBeast_1,Ready to Publish,Wave 3,image,1,phone-white.png,https://www.magne.ai/magne-web/phone-white.png,,true,IMG02,41450daddc97280727f17120460014c145c09e65f8df2722bc7a713e6b9d386e
14,cryptobeast-1,@CryptoBeast_1,Ready to Publish,Wave 3,image,2,package-page-2.png,https://www.magne.ai/magne-web/media-kit/package-page-2.png,,true,IMG05,46372124ce7199ec5a42a8968a8fed56393c8fb683210d293e08beec6e713c09
15,cyhnft,@cyhnft,Ready to Publish,Wave 3,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
15,cyhnft,@cyhnft,Ready to Publish,Wave 3,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
16,cryptosolutiong,@CryptoSolutionG,Ready to Publish,Wave 3,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
16,cryptosolutiong,@CryptoSolutionG,Ready to Publish,Wave 3,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
17,sunrise-venture,@sunrise_venture,Ready to Publish,Wave 3,image,1,package-page-2.png,https://www.magne.ai/magne-web/media-kit/package-page-2.png,,true,IMG05,46372124ce7199ec5a42a8968a8fed56393c8fb683210d293e08beec6e713c09
17,sunrise-venture,@sunrise_venture,Ready to Publish,Wave 3,image,2,magne-logo-white-horizontal.png,https://www.magne.ai/magne-web/assets/brand/magne-logo-white-horizontal.png,,true,IMG10,059f9c116f265b9044f4264994c644075dac4d65adc794c47ed5d766177135ef
18,cryptoas-tw,@CryptoAs_TW,Ready to Publish,Wave 3,image,1,phone-black.png,https://www.magne.ai/magne-web/phone-black.png,,true,IMG01,cbdef98332848f6f0b6d38762e6601f53952288d4583f1845d0684bee01ba6f6
18,cryptoas-tw,@CryptoAs_TW,Ready to Publish,Wave 3,image,2,package-page-1.png,https://www.magne.ai/magne-web/media-kit/package-page-1.png,,true,IMG04,650d19b76103a26fd6943d0851d4272fa78583cf01cc97f9fb7a02d187482e06
